fold,train_start,test_start,test_end,train_n,capacity_pf,capacity_n,unconstrained_pf,unconstrained_trades,max_dd
fold0,2023-09-19,2025-05-16,2025-09-01,38380,0.5991476797241897,370,0.5991476797241897,370,-0.013202231592970997
fold1,2023-12-20,2025-09-01,2025-12-18,47722,1.0256423784841788,365,1.0256423784841788,365,-0.044281603719468994
fold2,2024-03-26,2025-12-18,2026-04-09,49757,1.272550316871736,365,1.272550316871736,365,-0.12447258593373839
fold3,2024-06-25,2026-04-09,2026-07-29,49893,1.4301234684228474,370,1.4301234684228474,370,-0.02967921512925703
fold4,2024-09-26,2026-07-29,2026-09-18,50082,1.746124524326489,160,1.746124524326489,160,-0.014170598917385913
