fold,test_start,test_end,train_n,capacity_pf,capacity_n,unconstrained_pf,unconstrained_trades,max_dd
fold0,2025-05-16,2025-09-01,38380,0.5991476797241897,370,0.5991476797241897,370,-0.013202231592970997
fold1,2025-09-01,2025-12-18,47722,1.0256423784841788,365,1.0256423784841788,365,-0.044281603719468994
fold2,2025-12-18,2026-04-09,56960,1.2174933923315945,365,1.2174933923315945,365,-0.05507691357313122
fold3,2026-04-09,2026-07-29,66210,1.2928235134493897,370,1.2928235134493897,370,-0.05536447718506935
fold4,2026-07-29,2026-09-18,75660,1.7933948545281868,160,1.7933948545281868,160,-0.014149155470750688
