fold,test_start,test_end,train_n,capacity_pf,capacity_n,unconstrained_pf,unconstrained_trades,max_dd
fold0,2025-05-16,2025-09-01,38380,3.221847378942391,370,3.221847378942391,370,-0.024814884681688208
fold1,2025-09-01,2025-12-18,47722,1.708224404995216,365,1.708224404995216,365,-0.054337520984349526
fold2,2025-12-18,2026-04-09,56960,2.0425397553994213,365,2.0425397553994213,365,-0.08550584182722491
fold3,2026-04-09,2026-07-29,66210,1.2614458188578321,370,1.2614458188578321,370,-0.26626128303145424
fold4,2026-07-29,2026-09-18,75660,2.2191437584320037,160,2.2191437584320037,160,-0.018298542410778322
