fold,scheme,cagr,max_dd,final,n_days
0,long_only,1.603310754952266,-0.0248148846816882,1.3269849820192063,77
0,short_only,0.07083217445852474,-0.013202231592971002,1.0204418497799272,77
0,fixed_50_50,0.6734613075611344,-0.011148084341397297,1.1644489299014642,77
0,gate_mild_0.3_0.5_0.7,0.9436162527738292,-0.016625684315778152,1.217134673929832,77
0,gate_strong_0.0_0.5_1.0,1.4299717237857559,-0.02481488468168819,1.3002222966498522,77
1,long_only,0.7231669718599667,-0.05433752098434974,1.1798321461905061,75
1,short_only,0.33712780980395674,-0.04428160371946878,1.092305529556046,75
1,fixed_50_50,0.520787272655272,-0.047676002828333806,1.1358758590680011,75
1,gate_mild_0.3_0.5_0.7,0.6084998107199466,-0.04400789666631432,1.1553980836923852,75
1,gate_strong_0.0_0.5_1.0,0.7479644083939114,-0.0385869798878503,1.1849663053544277,75
2,long_only,1.950586056053214,-0.0855058418272251,1.401733393817384,76
2,short_only,0.08964414023951828,-0.05507691357313121,1.0271576616090454,76
2,fixed_50_50,0.8097671517556162,-0.058853976062623936,1.2033941799689427,76
2,gate_mild_0.3_0.5_0.7,1.0839774454318105,-0.054161411523972615,1.2575674558926409,76
2,gate_strong_0.0_0.5_1.0,1.5637118453267118,-0.04731009301457479,1.3415726912275405,76
3,long_only,0.21319998979444943,-0.2662612830314545,1.0616143129274094,77
3,short_only,0.1342320539451125,-0.05536447718506934,1.0397370560296106,77
3,fixed_50_50,0.20126774189775554,-0.11350606248955365,1.0583729658810126,77
3,gate_mild_0.3_0.5_0.7,0.5456513657506346,-0.07891555866344258,1.1442127631279395,77
3,gate_strong_0.0_0.5_1.0,1.229708162478464,-0.07534172260992644,1.281563049612563,77
4,long_only,0.7366839959575151,-0.01829854241077832,1.076861051777836,35
4,short_only,0.14421645079630352,-0.014149155470750685,1.0182376414429817,35
4,fixed_50_50,0.41298478111181347,-0.01324419173448055,1.0474701302507097,35
4,gate_mild_0.3_0.5_0.7,0.45311752313871345,-0.01324419173448074,1.0514131519282348,35
4,gate_strong_0.0_0.5_1.0,0.5142949946980493,-0.013244191734480604,1.0572460755494897,35
