Date,call_oi_wall,put_oi_wall,gamma_flip,cta_net_futures
2024-05-29,38500.0,38500.0,38500.0,4880.499999999999
2024-05-30,38500.0,38500.0,38500.0,4880.499999999999
2024-05-31,38500.0,38500.0,38500.0,1933.2
2024-06-03,38500.0,38500.0,38500.0,1933.2
2024-06-04,38500.0,38500.0,38500.0,1933.2
2024-06-05,38500.0,38500.0,38500.0,1933.2
2024-06-06,38500.0,38500.0,38500.0,1933.2
2024-06-07,38500.0,38500.0,38500.0,1073.6
2024-06-10,38500.0,38500.0,38500.0,1073.6
2024-06-11,38500.0,38500.0,38500.0,1073.6
2024-06-12,38500.0,38500.0,38500.0,1073.6
2024-06-13,38500.0,38500.0,38500.0,1073.6
2024-06-14,39000.0,39000.0,39000.0,19156.2
2024-06-17,39000.0,39000.0,39000.0,19156.2
2024-06-18,39000.0,39000.0,39000.0,19156.2
2024-06-19,39000.0,39000.0,39000.0,19156.2
2024-06-20,39000.0,39000.0,39000.0,19156.2
2024-06-21,38750.0,38375.0,38562.5,13469.0
2024-06-24,38750.0,38375.0,38562.5,13469.0
2024-06-25,38750.0,38375.0,38562.5,13469.0
2024-06-26,38750.0,38375.0,38562.5,13469.0
2024-06-27,38750.0,38375.0,38562.5,13469.0
2024-06-28,39500.0,39500.0,39500.0,11034.7
2024-07-01,39500.0,39500.0,39500.0,11034.7
2024-07-02,39500.0,39500.0,39500.0,11034.7
2024-07-03,39500.0,39500.0,39500.0,11034.7
2024-07-04,39500.0,39500.0,39500.0,11034.7
2024-07-05,41000.0,40750.0,40875.0,13914.3
2024-07-08,41000.0,40750.0,40875.0,13914.3
2024-07-09,41000.0,40750.0,40875.0,13914.3
2024-07-10,41000.0,40750.0,40875.0,13914.3
2024-07-11,41000.0,40750.0,40875.0,13914.3
2024-07-12,41000.0,41000.0,41000.0,20574.5
2024-07-16,41000.0,41000.0,41000.0,20574.5
2024-07-17,41000.0,41000.0,41000.0,20574.5
2024-07-18,41000.0,41000.0,41000.0,20574.5
2024-07-19,40250.0,40000.0,40125.0,17106.499999999996
2024-07-22,40250.0,40000.0,40125.0,17106.499999999996
2024-07-23,40250.0,40000.0,40125.0,17106.499999999996
2024-07-24,40250.0,40000.0,40125.0,17106.499999999996
2024-07-25,40250.0,40000.0,40125.0,17106.499999999996
