"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"9007","小田急電鉄","東P","1789.5","-1.0(-0.06%)","1,926,917"
"9008","京王電鉄","東P","788.8","+3.4(+0.43%)","1,114,544"
"9009","京成電鉄","東P","1396.0","+6.5(+0.47%)","2,152,917"
"9020","東日本旅客鉄道","東P","3538.0","+20.0(+0.57%)","9,816,119"
"9021","西日本旅客鉄道","東P","3018.0","+6.0(+0.20%)","5,638,435"
"9022","東海旅客鉄道","東P","3865.0","+22.0(+0.57%)","8,047,303"
"9023","東京地下鉄","東P","1526.0","-3.0(-0.20%)","2,163,451"
"9024","西武ＨＬＤＧ","東P","3638.0","+38.0(+1.06%)","6,943,922"
"9031","西日本鉄道","東P","3105.0","+25.0(+0.81%)","574,300"
"9041","近鉄グループＨＬＤＧ","東P","3450.0","+25.0(+0.73%)","1,802,442"
"9042","阪急阪神ＨＬＤＧ","東P","4689.0","-20.0(-0.42%)","3,192,651"
"9044","ＮＡＮＫＡＩ","東P","3141.0","+8.0(+0.26%)","669,307"
"9045","京阪ＨＬＤＧ","東P","3201.0","+18.0(+0.57%)","852,886"
"9048","名古屋鉄道","東P","1869.0","-9.0(-0.48%)","858,414"
"9064","ヤマトＨＬＤＧ","東P","1932.5","-16.0(-0.82%)","2,189,394"
"9065","山九","東P","8073.0","+73.0(+0.91%)","1,377,054"
"9069","センコーグループＨＬＤＧ","東P","2220.0","+3.0(+0.14%)","830,442"
"9072","ニッコンＨＬＤＧ","東P","5081.0","-31.0(-0.61%)","1,242,201"
"9075","福山通運","東P","6030","-130.0(-2.11%)","559,418"
"9076","セイノーＨＬＤＧ","東P","2654.0","-18.5(-0.69%)","985,719"
"9101","日本郵船","東P","7201.0","-89.0(-1.22%)","24,415,756"
"9104","商船三井","東P","7039.0","-75.0(-1.05%)","25,191,108"
"9107","川崎汽船","東P","3348.0","-79.0(-2.31%)","17,930,847"
"9110","ＮＳユナイテッド海運","東P","10490","+10.0(+0.10%)","1,611,142"
"9142","九州旅客鉄道","東P","3550.0","+6.0(+0.17%)","2,559,109"
"9143","ＳＧ　ＨＬＤＧ","東P","1455.0","-14.5(-0.99%)","2,300,291"
"9147","ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳ","東P","5291.0","-108.0(-2.00%)","6,069,338"
"9201","日本航空","東P","2990.5","-9.5(-0.32%)","5,358,867"
"9202","ＡＮＡ　ＨＬＤＧ","東P","2951.0","-40.5(-1.35%)","5,971,126"
"9247","TRE ＨＬＤＧ","東P","1834","+24.0(+1.33%)","527,480"
"9279","ギフトＨＬＤＧ","東P","2279","-10.0(-0.44%)","511,039"
"9301","三菱倉庫","東P","1530.5","-6.0(-0.39%)","1,409,397"
"9302","三井倉庫ＨＬＤＧ","東P","3353.0","+11.0(+0.33%)","688,120"
"9336","大栄環境","東P","3735","-30.0(-0.80%)","520,945"
"9364","上組","東P","4820.0","-30.0(-0.62%)","1,263,546"
"9401","ＴＢＳＨＬＤＧ","東P","5730.0","-89.0(-1.53%)","1,769,429"
"9404","日本テレビＨＬＤＧ","東P","2942.5","-51.5(-1.72%)","1,236,367"
"9409","テレビ朝日ＨＬＤＧ","東P","3060","-30.0(-0.97%)","515,229"
"9412","スカパーＪＳＡＴ","東P","2018","+8.0(+0.40%)","4,152,298"
"9418","Ｕ−ＮＥＸＴ　ＨＬＤＧ","東P","1721","-19.0(-1.09%)","1,250,332"
"9432","ＮＴＴ","東P","172.2","+0.2(+0.12%)","36,854,636"
"9433","ＫＤＤＩ","東P","2976.5","-14.0(-0.47%)","22,976,530"
"9434","ソフトバンク","東P","239.2","-1.8(-0.75%)","15,640,912"
"9435","光通信","東P","38330.0","-670.0(-1.72%)","3,603,688"
"9436","沖縄セルラー電話","東S","4215","+50.0(+1.20%)","508,629"
"9449","ＧＭＯインターネットグループ","東P","3782.0","-77.0(-2.00%)","1,447,579"
"9468","ＫＡＤＯＫＡＷＡ","東P","3570.0","-51.0(-1.41%)","1,468,567"
"9501","東京電力ＨＬＤＧ","東P","575.1","+18.4(+3.31%)","21,556,592"
"9502","中部電力","東P","3065.0","+86.5(+2.90%)","8,438,573"
"9503","関西電力","東P","2999.0","+59.5(+2.02%)","11,940,607"
"9504","中国電力","東P","1086.5","+12.0(+1.12%)","2,214,672"
"9505","北陸電力","東P","1078.5","+5.0(+0.47%)","905,017"
"9506","東北電力","東P","1395.5","+19.0(+1.38%)","4,404,371"
"9507","四国電力","東P","2193.0","+54.0(+2.52%)","2,131,298"
"9508","九州電力","東P","2201.5","+60.5(+2.83%)","4,022,715"
"9509","北海道電力","東P","1132.0","+1.0(+0.09%)","2,429,573"
"9513","電源開発","東P","4158.0","+34.0(+0.82%)","1,881,620"
"9519","レノバ","東P","900","+18.0(+2.04%)","789,344"
"9531","東京瓦斯","東P","6253.0","+106.0(+1.72%)","5,620,108"
"9532","大阪瓦斯","東P","5945.0","+89.0(+1.52%)","4,715,066"
"9533","東邦瓦斯","東P","1298.0","+18.5(+1.45%)","970,432"
"9552","クオンツ総研ＨＬＤＧ","東P","1049","-53.0(-4.81%)","504,462"
"9601","松竹","東P","10890","-110.0(-1.00%)","662,429"
"9602","東宝","東P","1594.5","-7.5(-0.47%)","5,221,128"
"9616","共立メンテナンス","東P","3164.0","-20.0(-0.63%)","2,984,108"
"9627","アインＨＬＤＧ","東P","5825.0","-152.0(-2.54%)","664,348"
"9682","ＤＴＳ","東P","1070","-21.0(-1.92%)","555,355"
"9684","スクウェア・エニックスＨＬＤＧ","東P","2827.0","-39.0(-1.36%)","4,208,152"
"9697","カプコン","東P","4283.0","-80.0(-1.83%)","9,793,810"
"9706","日本空港ビルデング","東P","5590.0","-9.0(-0.16%)","5,616,331"
"9722","藤田観光","東P","2801","-16.0(-0.57%)","1,056,776"
"9735","セコム","東P","6282.0","-21.0(-0.33%)","7,173,659"
"9744","メイテックグループＨＬＤＧ","東P","3253.0","-45.0(-1.36%)","1,085,697"
"9759","ＮＳＤ","東P","2762.0","-46.0(-1.64%)","618,373"
"9766","コナミグループ","東P","20690.0","-295.0(-1.41%)","9,220,734"
"9831","ヤマダＨＬＤＧ","東P","693.1","+0.1(+0.01%)","2,596,532"
"9842","アークランズ","東P","1857","-24.0(-1.28%)","789,676"
"9843","ニトリＨＬＤＧ","東P","3287.0","-105.0(-3.10%)","10,756,091"
"9861","吉野家ＨＬＤＧ","東P","3803.0","-21.0(-0.55%)","2,222,271"
"9880","イノテック","東P","3340","+65.0(+1.98%)","552,800"
"9934","因幡電機産業","東P","3028.0","+39.5(+1.32%)","611,174"
"9936","王将フードサービス","東P","2945","-26.0(-0.88%)","699,760"
"9956","バローＨＬＤＧ","東P","3230","+5.0(+0.16%)","534,190"
"9962","ミスミグループ本社","東P","3550.0","+16.0(+0.45%)","4,275,864"
"9983","ファーストリテイリング","東P","66860.0","-1,870.0(-2.72%)","67,288,585"
"9984","ソフトバンクグループ","東P","6810.0","+254.0(+3.87%)","261,757,567"
"9987","スズケン","東P","5177.0","-10.0(-0.19%)","798,844"
"9989","サンドラッグ","東P","3708.0","-23.0(-0.62%)","1,951,798"
