"コード","銘柄名","市場","現在値","前日比(%)","平均売買代金(千円)"
"6768","タムラ製作所","東P","783","+29.0(+3.85%)","729,072"
"6770","アルプスアルパイン","東P","2124.0","+54.5(+2.63%)","3,271,836"
"6777","ｓａｎｔｅｃ　ＨＬＤＧ","東S","20270","+1,260.0(+6.63%)","2,425,505"
"6779","日本電波工業","東P","2737","+218.0(+8.65%)","2,062,855"
"6787","メイコー","東P","19150","+330.0(+1.75%)","8,809,946"
"6800","ヨコオ","東P","3880","+170.0(+4.58%)","576,223"
"6804","ホシデン","東P","2540","-2.0(-0.08%)","586,652"
"6806","ヒロセ電機","東P","23885.0","+150.0(+0.63%)","4,653,430"
"6807","日本航空電子工業","東P","2448","+15.0(+0.62%)","584,826"
"6810","マクセル","東P","2583","+122.0(+4.96%)","704,528"
"6814","古野電気","東P","7480","-110.0(-1.45%)","1,999,286"
"6834","精工技研","東S","5470","+370.0(+7.25%)","6,843,267"
"6841","横河電機","東P","4637.0","+119.0(+2.63%)","5,354,952"
"6845","アズビル","東P","1454.0","+3.0(+0.21%)","2,039,210"
"6849","日本光電工業","東P","1464.5","-25.5(-1.71%)","1,106,966"
"6855","日本電子材料","東S","6570","+90.0(+1.39%)","4,002,659"
"6856","堀場製作所","東P","21885.0","+275.0(+1.27%)","4,550,291"
"6857","アドバンテスト","東P","32840.0","-960.0(-2.84%)","289,829,067"
"6861","キーエンス","東P","76280.0","-480.0(-0.63%)","40,735,579"
"6862","ミナトＨＬＤＧ","東S","4510","+160.0(+3.68%)","2,034,314"
"6869","シスメックス","東P","1818.0","-27.0(-1.46%)","4,866,754"
"6871","日本マイクロニクス","東P","12760","+450.0(+3.66%)","18,127,165"
"6875","メガチップス","東P","10710","+180.0(+1.71%)","1,212,360"
"6890","フェローテック","東S","9370","+240.0(+2.63%)","12,007,704"
"6902","デンソー","東P","1888.5","+9.5(+0.51%)","13,112,179"
"6914","オプテックスグループ","東P","3055","+55.0(+1.83%)","513,603"
"6920","レーザーテック","東P","35280.0","+370.0(+1.06%)","98,268,548"
"6923","スタンレー電気","東P","3420.0","-29.0(-0.84%)","1,633,259"
"6925","ウシオ電機","東P","3641.0","+18.0(+0.50%)","1,563,712"
"6941","山一電機","東P","7630","+420.0(+5.83%)","2,433,404"
"6946","日本アビオニクス","東S","6380","+270.0(+4.42%)","953,080"
"6951","日本電子","東P","7329.0","+500.0(+7.32%)","2,717,072"
"6952","カシオ計算機","東P","2081.0","-27.5(-1.30%)","4,102,124"
"6954","ファナック","東P","5848.0","+51.0(+0.88%)","30,321,331"
"6958","日本シイエムケイ","東P","724","+8.0(+1.12%)","725,530"
"6960","フクダ電子","東S","11710","-150.0(-1.26%)","678,200"
"6961","エンプラス","東P","9950","+210.0(+2.16%)","1,612,125"
"6963","ローム","東P","4896.0","+21.0(+0.43%)","15,231,259"
"6965","浜松ホトニクス","東P","2244.0","+19.0(+0.85%)","5,721,613"
"6966","三井ハイテック","東P","899","-4.0(-0.44%)","1,338,841"
"6971","京セラ","東P","3406.0","+9.0(+0.26%)","14,897,070"
"6976","太陽誘電","東P","8972.0","-74.0(-0.82%)","248,128,437"
"6981","村田製作所","東P","7128.0","+105.0(+1.50%)","165,904,309"
"6988","日東電工","東P","3175.0","-4.0(-0.13%)","8,271,635"
"6996","ニチコン","東P","2535","+61.0(+2.47%)","2,486,074"
"6997","日本ケミコン","東P","2731","+103.0(+3.92%)","2,380,395"
"6999","ＫＯＡ","東P","2128","+19.0(+0.90%)","1,269,093"
"7003","三井Ｅ＆Ｓ","東P","4484.0","+80.0(+1.82%)","8,925,449"
"7004","カナデビア","東P","1154","+12.0(+1.05%)","1,137,094"
"7011","三菱重工業","東P","3813.0","+105.0(+2.83%)","60,742,084"
"7012","川崎重工業","東P","2418.0","+32.5(+1.36%)","28,236,804"
"7013","ＩＨＩ","東P","2800.5","+158.5(+6.00%)","32,026,124"
"7014","名村造船所","東S","4895","+30.0(+0.62%)","7,912,022"
"7085","カーブスＨＬＤＧ","東P","883","-22.0(-2.43%)","633,534"
"7148","ＦＰＧ","東P","1675","-42.0(-2.45%)","795,958"
"7157","ライフネット生命保険","東P","1376","-39.0(-2.76%)","518,103"
"7164","全国保証","東P","3109.0","-53.0(-1.68%)","916,796"
"7167","めぶきフィナンシャルグループ","東P","1640.0","-32.5(-1.94%)","4,212,633"
"7173","東京きらぼしＦＧ","東P","1636","-34.0(-2.04%)","1,738,716"
"7180","九州ＦＧ","東P","1568.0","-17.5(-1.10%)","1,579,790"
"7181","かんぽ生命保険","東P","1706.5","-22.0(-1.27%)","3,852,238"
"7182","ゆうちょ銀行","東P","3210.0","-70.0(-2.13%)","18,608,623"
"7184","富山第一銀行","東P","3245","-20.0(-0.61%)","590,734"
"7186","横浜ＦＧ","東P","1853.0","-38.5(-2.04%)","6,889,204"
"7189","西日本フィナンシャルＨＬＤＧ","東P","4716.0","-99.0(-2.06%)","1,997,002"
"7201","日産自動車","東P","307.3","+4.8(+1.59%)","12,533,346"
"7202","いすゞ自動車","東P","2168.0","+38.5(+1.81%)","5,839,631"
"7203","トヨタ自動車","東P","2971.0","+2.5(+0.08%)","69,678,420"
"7211","三菱自動車工業","東P","356.7","+10.8(+3.12%)","3,894,392"
"7220","武蔵精密工業","東P","2776","+92.0(+3.43%)","2,802,328"
"7240","ＮＯＫ","東P","2960.5","+34.5(+1.18%)","962,260"
"7259","アイシン","東P","2186.5","+15.5(+0.71%)","4,818,464"
"7261","マツダ","東P","1118.0","+19.5(+1.78%)","8,271,581"
"7267","本田技研工業","東P","1620.0","+9.5(+0.59%)","26,813,873"
"7269","スズキ","東P","1989.5","+9.5(+0.48%)","12,611,813"
"7270","ＳＵＢＡＲＵ","東P","2555.5","+16.0(+0.63%)","10,413,974"
"7272","ヤマハ発動機","東P","1742.5","+3.0(+0.17%)","12,512,241"
"7276","小糸製作所","東P","2594.5","+35.5(+1.39%)","2,120,366"
"7278","エクセディ","東P","5890","-20.0(-0.34%)","1,337,060"
"7282","豊田合成","東P","5089.0","+36.0(+0.71%)","2,292,709"
"7296","エフ・シー・シー","東P","4045","+75.0(+1.89%)","557,245"
"7309","シマノ","東P","18275.0","-175.0(-0.95%)","4,845,959"
"7313","テイ・エス　テック","東P","1803.0","+7.5(+0.42%)","502,139"
"7322","三十三ＦＧ","東P","2076","-17.0(-0.81%)","735,832"
"7327","第四北越ＦＧ","東P","2553","-46.0(-1.77%)","1,903,538"
"7337","ひろぎんＨＬＤＧ","東P","2301.5","-34.0(-1.46%)","1,342,884"
"7350","おきなわＦＧ","東P","7520","-120.0(-1.57%)","919,430"
"7380","十六ＦＧ","東P","2538","-34.0(-1.32%)","1,154,850"
"7389","あいちＦＧ","東P","1875","-21.0(-1.11%)","1,912,101"
"7419","ノジマ","東P","1233","-9.0(-0.72%)","852,022"
"7453","良品計画","東P","4085.0","-51.0(-1.23%)","10,777,636"
"7456","松田産業","東P","7470","+260.0(+3.61%)","952,795"
"7459","メディパルＨＬＤＧ","東P","2878.5","-53.5(-1.82%)","1,418,197"
"7513","コジマ","東P","1412","-1.0(-0.07%)","570,681"
"7532","パン・パシフィック・インターナ","東P","755.6","-22.1(-2.84%)","13,862,735"
"7545","西松屋チェーン","東P","1951","-44.0(-2.21%)","650,984"
"7550","ゼンショーＨＬＤＧ","東P","11735.0","-90.0(-0.76%)","5,561,629"
"7552","ハピネット","東P","3705","-45.0(-1.20%)","747,354"
"7564","ワークマン","東S","5880","-110.0(-1.84%)","2,519,988"
