ticker,price,target_price,stop_price,prob_win,prob_stop,ev_score,beta,vol_ratio,turnover_oku,action,reason,code,margin_date,margin_buy,margin_buy_diff,margin_buy_pct,margin_short,margin_ratio,is_accumulating
4980.T,2865.0,3088.4,2753.3,0.3591,0.385,0.333,1.66,1.45,35.5,⏸️ WAIT,見送り,,,,,,,,
8358.T,2806.0,2946.6,2735.7,0.3587,0.3844,0.333,0.51,1.38,20.9,⏸️ WAIT,見送り,8358,09/04,678.0,115.0,20.45,129.0,5.26,False
9449.T,3816.0,4038.6,3704.7,0.3595,0.3859,0.333,0.34,0.87,10.3,⏸️ WAIT,見送り,9449,09/04,76.0,4.0,6.38,40.0,1.89,False
8308.T,2522.0,2662.5,2451.8,0.3585,0.3854,0.332,0.6,1.41,243.8,⏸️ WAIT,見送り,,,,,,,,
9143.T,1475.5,1528.4,1449.0,0.3591,0.3865,0.332,0.19,0.93,21.1,⏸️ WAIT,見送り,,,,,,,,
4716.T,8995.0,9418.3,8783.4,0.3502,0.3698,0.331,0.19,1.1,20.0,⏸️ WAIT,見送り,,,,,,,,
5032.T,3115.0,3313.1,3015.9,0.3591,0.3867,0.331,0.68,1.02,38.3,⏸️ WAIT,見送り,,,,,,,,
7327.T,2631.0,2766.3,2563.4,0.3558,0.3802,0.331,0.52,1.4,18.5,⏸️ WAIT,見送り,,,,,,,,
7936.T,3989.0,4300.1,3833.4,0.3584,0.3855,0.331,0.47,0.7,291.4,⏸️ WAIT,見送り,,,,,,,,
8354.T,7827.0,8186.9,7647.1,0.3569,0.3824,0.331,0.52,1.5,58.3,⏸️ WAIT,見送り,,,,,,,,
8341.T,3973.0,4185.1,3866.9,0.3576,0.3854,0.33,0.63,1.3,24.6,⏸️ WAIT,見送り,,,,,,,,
4118.T,5927.0,6173.6,5803.7,0.3615,0.3937,0.329,0.43,1.17,10.6,⏸️ WAIT,見送り,,,,,,,,
8113.T,951.5,984.3,935.1,0.3572,0.3855,0.329,-0.1,1.13,42.6,⏸️ WAIT,見送り,,,,,,,,
8334.T,2891.0,3041.7,2815.6,0.3558,0.3821,0.329,0.44,1.73,31.9,⏸️ WAIT,見送り,,,,,,,,
4540.T,3717.0,3805.1,3672.9,0.3621,0.3958,0.328,-0.01,0.78,25.8,⏸️ WAIT,見送り,,,,,,,,
4912.T,1737.0,1813.6,1698.7,0.354,0.3801,0.328,0.13,1.15,18.4,⏸️ WAIT,見送り,4912,09/04,63.0,-1.0,-1.71,35.0,1.8,False
7337.T,2361.0,2465.8,2308.6,0.3548,0.3818,0.328,0.5,1.53,13.8,⏸️ WAIT,見送り,7337,09/04,648.0,-114.0,-15.05,32.0,19.7,False
2737.T,34800.0,39154.3,32622.9,0.3598,0.3931,0.327,1.85,1.27,38.2,⏸️ WAIT,見送り,,,,,,,,
2413.T,1690.0,1813.5,1628.2,0.358,0.3913,0.325,0.12,1.05,59.9,⏸️ WAIT,見送り,,,,,,,,
2914.T,6693.0,6898.0,6590.5,0.3523,0.3799,0.325,0.03,1.27,225.9,⏸️ WAIT,見送り,,,,,,,,
4061.T,3286.0,3485.7,3186.1,0.3557,0.3859,0.325,1.11,1.07,22.7,⏸️ WAIT,見送り,,,,,,,,
6753.T,678.0,720.4,656.8,0.3601,0.3951,0.325,0.69,1.87,27.9,⏸️ WAIT,見送り,6753,09/04,2959.0,-303.0,-9.31,3038.0,0.97,True
6965.T,2193.0,2332.6,2123.2,0.3557,0.3864,0.325,1.27,0.81,53.4,⏸️ WAIT,見送り,,,,,,,,
8418.T,3203.0,3361.3,3123.9,0.3599,0.396,0.324,0.6,1.69,15.1,⏸️ WAIT,見送り,8418,09/04,676.0,7.0,1.14,59.0,11.41,False
4523.T,4658.0,4824.9,4574.6,0.3542,0.3854,0.323,-0.24,1.2,53.4,⏸️ WAIT,見送り,,,,,,,,
543A.T,269.0,282.9,262.1,0.3477,0.3727,0.323,0.65,0.95,51.4,⏸️ WAIT,見送り,543A,09/04,33365.0,-8692.0,-20.67,205.0,162.0,False
6501.T,5199.0,5476.9,5060.1,0.3573,0.3918,0.323,0.76,1.22,417.0,⏸️ WAIT,見送り,6501,09/04,3945.0,121.0,3.17,511.0,7.71,False
3659.T,3070.0,3211.7,2999.1,0.3632,0.4047,0.322,0.24,1.01,84.2,⏸️ WAIT,見送り,,,,,,,,
7173.T,1676.0,1764.1,1631.9,0.3558,0.3921,0.319,0.92,1.27,15.9,⏸️ WAIT,見送り,,,,,,,,
4626.T,4720.0,4761.9,4699.1,0.3564,0.3946,0.318,0.2,1.5,14.2,⏸️ WAIT,見送り,4626,09/04,155.0,-12.0,-7.24,0.0,172.0,False
5947.T,3432.0,3540.0,3378.0,0.3575,0.3971,0.318,0.08,1.45,11.4,⏸️ WAIT,見送り,5947,09/04,73.0,4.0,5.89,126.0,0.58,False
8725.T,5091.0,5312.6,4980.2,0.3509,0.3837,0.318,0.11,1.27,202.6,⏸️ WAIT,見送り,,,,,,,,
8366.T,2852.0,3011.3,2772.4,0.3567,0.3964,0.317,0.85,1.48,14.8,⏸️ WAIT,見送り,8366,09/04,466.0,-40.0,-7.96,90.0,5.15,False
9007.T,1805.5,1853.5,1781.5,0.3545,0.3916,0.317,-0.03,1.31,23.9,⏸️ WAIT,見送り,9007,09/04,286.0,-51.0,-15.27,201.0,1.43,True
2502.T,1586.5,1633.3,1563.1,0.3599,0.4035,0.316,-0.0,1.0,91.9,⏸️ WAIT,見送り,2502,09/04,2838.0,19.0,0.69,131.0,21.62,False
4324.T,3577.0,3772.3,3479.4,0.352,0.3901,0.314,0.1,1.16,34.7,⏸️ WAIT,見送り,4324,09/04,206.0,-4.0,-2.13,609.0,0.34,False
4503.T,2240.5,2332.4,2194.6,0.3534,0.3949,0.312,-0.27,1.31,117.4,⏸️ WAIT,見送り,4503,09/04,776.0,14.0,1.93,421.0,1.84,False
4568.T,2772.0,2909.9,2703.1,0.3463,0.3809,0.312,-0.38,1.25,146.1,⏸️ WAIT,見送り,4568,09/04,4559.0,585.0,14.74,150.0,30.27,False
5801.T,3981.0,4495.7,3723.6,0.3566,0.4025,0.311,1.94,0.99,936.1,⏸️ WAIT,見送り,5801,09/04,17932.0,205.0,1.16,1054.0,17.0,False
5901.T,4517.0,4664.3,4443.4,0.3455,0.3798,0.311,0.27,1.53,13.5,⏸️ WAIT,見送り,5901,09/04,125.0,-1.0,-1.1,60.0,2.07,False
2503.T,2775.0,2877.7,2723.6,0.3579,0.4073,0.308,0.05,1.05,83.2,⏸️ WAIT,見送り,2503,09/04,378.0,96.0,34.38,68.0,5.55,False
7733.T,1970.0,2077.6,1916.2,0.3519,0.3955,0.308,-0.16,1.33,87.7,⏸️ WAIT,見送り,7733,09/04,486.0,16.0,3.4,282.0,1.72,False
5938.T,1717.0,1752.6,1699.2,0.3481,0.39,0.306,0.36,1.51,32.8,⏸️ WAIT,見送り,5938,09/04,1542.0,108.0,7.53,415.0,3.71,False
3105.T,2235.0,2401.1,2151.9,0.3547,0.4045,0.305,1.12,0.93,17.4,⏸️ WAIT,見送り,3105,09/04,302.0,-5.0,-1.88,62.0,4.82,False
9766.T,20730.0,21837.1,20176.4,0.3487,0.392,0.305,-0.26,1.39,111.6,⏸️ WAIT,見送り,9766,09/04,62.0,4.0,7.02,95.0,0.66,False
9468.T,3588.0,3748.4,3507.8,0.3548,0.4052,0.304,-0.15,1.24,10.3,⏸️ WAIT,見送り,9468,09/04,56.0,-6.0,-9.63,178.0,0.32,True
5832.T,3508.0,3676.0,3424.0,0.3545,0.4059,0.303,0.64,1.27,13.7,⏸️ WAIT,見送り,5832,09/04,558.0,14.0,2.67,9.0,57.55,False
8368.T,2399.0,2557.7,2319.6,0.351,0.3991,0.303,0.92,1.62,15.6,⏸️ WAIT,見送り,8368,09/04,1005.0,62.0,6.58,207.0,4.85,False
2871.T,2171.0,2245.4,2133.8,0.3569,0.4125,0.301,-0.18,1.14,27.2,⏸️ WAIT,見送り,2871,09/04,136.0,1.0,0.74,197.0,0.69,False
8343.T,9440.0,10105.7,9107.1,0.3564,0.412,0.301,0.78,1.21,15.1,⏸️ WAIT,見送り,8343,09/04,108.0,-3.0,-3.3,19.0,5.5,False
9435.T,37680.0,38972.9,37033.6,0.358,0.4146,0.301,0.19,1.09,23.3,⏸️ WAIT,見送り,9435,09/04,384.0,-3.0,-0.93,3.0,101.0,False
4704.T,5813.0,6223.4,5607.8,0.3544,0.4089,0.3,-0.25,1.11,59.5,⏸️ WAIT,見送り,,,,,,,,
4543.T,2246.0,2354.9,2191.6,0.3495,0.3996,0.299,0.47,1.25,120.4,⏸️ WAIT,見送り,4543,09/04,414.0,33.0,8.81,214.0,1.93,False
7180.T,1615.5,1696.4,1575.1,0.3495,0.3997,0.299,0.44,1.36,17.6,⏸️ WAIT,見送り,7180,09/04,1037.0,-637.0,-38.06,84.0,12.33,False
8086.T,1438.5,1491.7,1411.9,0.3547,0.4106,0.299,0.15,0.86,11.3,⏸️ WAIT,見送り,8086,09/04,232.0,76.0,49.2,25.0,9.04,False
3778.T,3660.0,4062.9,3458.6,0.3535,0.4092,0.298,0.38,1.01,29.8,⏸️ WAIT,見送り,3778,09/04,1351.0,5.0,0.43,561.0,2.41,False
6941.T,7630.0,8405.7,7242.1,0.3529,0.4079,0.298,1.78,1.5,19.7,⏸️ WAIT,見送り,6941,09/04,453.0,-106.0,-19.07,13.0,34.37,False
8377.T,8250.0,8727.7,8011.1,0.3544,0.412,0.297,0.78,1.26,32.5,⏸️ WAIT,見送り,8377,09/04,419.0,-236.0,-36.03,42.0,9.86,False
6027.T,5530.0,6459.3,5065.4,0.353,0.4105,0.295,-1.93,1.68,17.6,⏸️ WAIT,見送り,6027,09/04,493.0,6.0,1.25,347.0,1.42,False
6417.T,2055.0,2132.1,2016.4,0.3545,0.4144,0.295,-0.16,1.3,19.7,⏸️ WAIT,見送り,,,,,,,,
7389.T,1979.0,2141.9,1897.6,0.3519,0.4107,0.293,0.26,2.27,19.8,⏸️ WAIT,見送り,7389,09/04,4549.0,101.0,2.28,43.0,104.0,False
8410.T,337.3999938964844,348.6,331.8,0.3484,0.4036,0.293,0.04,1.45,11.3,⏸️ WAIT,見送り,,,,,,,,
6754.T,3139.0,3365.1,3025.9,0.3501,0.41,0.29,1.42,1.07,32.3,⏸️ WAIT,見送り,6754,09/04,622.0,7.0,1.15,32.0,19.45,False
2802.T,4974.0,5252.1,4834.9,0.3518,0.4149,0.289,0.98,1.01,147.7,⏸️ WAIT,見送り,,,,,,,,
8056.T,4750.0,4961.1,4644.4,0.3486,0.4086,0.289,-0.03,1.11,19.5,⏸️ WAIT,見送り,8056,09/04,55.0,-3.0,-5.46,26.0,2.13,True
9041.T,3517.0,3607.1,3471.9,0.3498,0.4131,0.287,-0.03,1.32,20.7,⏸️ WAIT,見送り,9041,09/04,871.0,22.0,2.61,203.0,4.29,False
8388.T,10190.0,10891.4,9839.3,0.353,0.4199,0.286,0.59,1.51,10.5,⏸️ WAIT,見送り,8388,09/04,353.0,9.0,2.85,45.0,7.84,False
3132.T,3761.0,4076.3,3603.4,0.3503,0.4157,0.285,1.74,1.33,26.3,⏸️ WAIT,見送り,3132,09/04,451.0,101.0,28.79,39.0,11.58,False
3099.T,3151.0,3317.4,3067.8,0.3536,0.424,0.283,0.72,1.06,64.6,⏸️ WAIT,見送り,,,,,,,,
9005.T,1672.0,1715.4,1650.3,0.3531,0.4236,0.283,-0.15,1.03,42.4,⏸️ WAIT,見送り,9005,09/04,1166.0,108.0,10.24,80.0,14.46,False
6849.T,1540.0,1607.4,1506.3,0.3507,0.4189,0.282,-0.14,1.61,11.1,⏸️ WAIT,見送り,,,,,,,,
3103.T,1470.0,1726.1,1341.9,0.347,0.4156,0.278,1.19,0.62,100.8,⏸️ WAIT,見送り,3103,09/04,8357.0,-395.0,-4.52,2741.0,3.05,True
9433.T,3031.0,3127.6,2982.7,0.3478,0.4201,0.276,0.0,1.49,232.5,⏸️ WAIT,見送り,9433,09/04,786.0,-97.0,-11.06,948.0,0.83,True
4063.T,5738.0,5928.4,5642.8,0.3458,0.4166,0.275,0.51,1.09,401.9,⏸️ WAIT,見送り,4063,09/04,3923.0,304.0,8.4,185.0,21.13,False
9001.T,2939.0,3017.9,2899.6,0.3523,0.4319,0.273,-0.13,1.08,16.2,⏸️ WAIT,見送り,9001,09/04,374.0,-7.0,-1.84,23.0,15.73,False
6779.T,2844.0,3222.4,2654.8,0.3465,0.4262,0.267,2.06,1.26,41.9,⏸️ WAIT,見送り,6779,09/04,954.0,0.0,0.06,11.0,81.59,False
4099.T,2151.0,2341.6,2055.7,0.3477,0.4307,0.265,1.53,0.74,20.7,⏸️ WAIT,見送り,4099,09/04,469.0,166.0,55.09,369.0,1.27,False
4516.T,3386.0,3498.1,3329.9,0.3483,0.4315,0.265,-0.0,1.31,11.2,⏸️ WAIT,見送り,4516,09/04,190.0,40.0,26.61,46.0,4.09,False
6971.T,3551.0,3735.3,3458.9,0.3472,0.429,0.265,0.7,1.51,179.6,⏸️ WAIT,見送り,6971,09/04,619.0,15.0,2.63,104.0,5.91,False
4812.T,2859.0,2913.6,2831.7,0.3408,0.4229,0.259,0.05,0.84,27.6,⏸️ WAIT,見送り,4812,09/04,425.0,7.0,1.87,57.0,7.38,False
8630.T,6774.0,7036.0,6643.0,0.3428,0.4302,0.255,0.09,1.21,150.9,⏸️ WAIT,見送り,8630,09/04,441.0,-14.0,-3.22,43.0,10.24,False
9735.T,6336.0,6519.1,6244.4,0.3473,0.4398,0.255,-0.13,1.39,83.1,⏸️ WAIT,見送り,,,,,,,,
9434.T,246.8999938964844,254.8,242.9,0.3451,0.4376,0.253,0.05,1.43,188.8,⏸️ WAIT,見送り,9434,09/04,27413.0,561.0,2.09,3176.0,8.63,False
9831.T,717.7000122070312,745.9,703.6,0.3439,0.4365,0.251,0.0,1.06,29.5,⏸️ WAIT,見送り,,,,,,,,
4392.T,980.0,1157.0,891.5,0.3417,0.4331,0.25,-0.04,0.8,15.5,⏸️ WAIT,見送り,4392,09/04,4164.0,98.0,2.42,692.0,6.01,False
4901.T,3225.0,3361.3,3156.9,0.3418,0.4485,0.235,0.4,1.11,124.6,⏸️ WAIT,見送り,,,,,,,,
2331.T,1216.5,1254.8,1197.4,0.334,0.4703,0.198,-0.22,1.17,12.5,⏸️ WAIT,見送り,,,,,,,,
