Ticker,現在値,利確目標(+2ATR),損切撤退(-1ATR),生利確確率,生損切確率,出来高倍率,5日売買代金(億),ベータ,AI判定
7911.T,5078.0,5436.4,4898.8,33.2%,57.9%,0.74x,70.5,0.96,⏸️ WAIT
8227.T,3201.0,3320.7,3141.1,33.1%,56.9%,0.90x,20.6,-0.17,⏸️ WAIT
1808.T,2751.5,2859.2,2697.6,33.1%,55.3%,1.12x,27.5,0.22,⏸️ WAIT
9143.T,1464.0,1516.6,1437.7,33.1%,57.0%,0.97x,21.2,0.34,⏸️ WAIT
6508.T,10670.0,11778.6,10115.7,33.1%,56.0%,1.10x,24.9,1.86,⏸️ WAIT
5019.T,1650.5,1747.3,1602.1,33.1%,57.9%,1.22x,96.9,0.18,⏸️ WAIT
2801.T,1682.5,1759.5,1644.0,33.1%,56.1%,1.19x,65.6,-0.32,⏸️ WAIT
3086.T,2604.0,2774.5,2518.8,33.1%,55.4%,0.80x,42.0,0.28,⏸️ WAIT
6960.T,11670.0,12312.9,11348.6,33.1%,55.5%,0.79x,6.9,0.54,⏸️ WAIT
3964.T,1281.0,1354.1,1244.4,33.1%,56.9%,1.10x,5.3,0.68,⏸️ WAIT
4565.T,1246.0,1351.3,1193.4,33.1%,58.0%,0.92x,19.1,-0.78,⏸️ WAIT
4204.T,2484.5,2561.5,2446.0,33.1%,55.2%,0.85x,34.8,0.42,⏸️ WAIT
5406.T,2029.5,2100.1,1994.2,33.1%,56.5%,0.67x,30.8,0.48,⏸️ WAIT
9110.T,10480.0,10530.0,10455.0,33.1%,55.5%,0.94x,8.1,0.03,⏸️ WAIT
1878.T,3283.0,3387.0,3231.0,33.1%,55.6%,0.91x,42.7,0.02,⏸️ WAIT
7278.T,5870.0,6048.6,5780.7,33.1%,54.8%,1.16x,18.1,0.42,⏸️ WAIT
6594.T,2737.0,2948.7,2631.1,33.0%,57.3%,0.76x,193.9,1.72,⏸️ WAIT
3543.T,2847.0,2917.2,2811.9,33.0%,55.6%,1.11x,5.3,-0.21,⏸️ WAIT
7649.T,1291.0,1346.6,1263.2,33.0%,57.9%,1.12x,32.0,0.04,⏸️ WAIT
8541.T,3265.0,3524.3,3135.4,33.0%,56.9%,0.88x,5.7,0.67,⏸️ WAIT
5301.T,2000.0,2159.2,1920.4,33.0%,57.0%,1.16x,40.8,0.95,⏸️ WAIT
7211.T,360.3,388.0,346.4,33.0%,55.2%,0.67x,41.6,1.16,⏸️ WAIT
2695.T,1675.0,1745.6,1639.7,33.0%,55.2%,0.57x,16.0,-0.09,⏸️ WAIT
1605.T,3877.0,4108.3,3761.4,33.0%,55.5%,1.23x,210.1,-0.12,⏸️ WAIT
5713.T,10190.0,11395.7,9587.1,33.0%,56.3%,0.79x,251.6,1.48,⏸️ WAIT
9069.T,2234.0,2310.4,2195.8,33.0%,57.6%,0.84x,6.2,0.05,⏸️ WAIT
8601.T,1837.0,1914.8,1798.1,33.0%,55.2%,1.08x,73.9,0.53,⏸️ WAIT
2768.T,5745.0,6036.6,5599.2,33.0%,57.6%,1.07x,77.5,0.62,⏸️ WAIT
3116.T,2196.5,2290.4,2149.6,33.0%,55.6%,1.50x,12.9,0.79,⏸️ WAIT
9531.T,6267.0,6537.3,6131.9,32.9%,55.9%,1.23x,57.1,0.07,⏸️ WAIT
3626.T,3851.0,4051.1,3750.9,32.9%,55.9%,1.07x,32.6,0.17,⏸️ WAIT
6857.T,33920.0,37291.4,32234.3,32.9%,57.3%,1.06x,3156.7,1.47,⏸️ WAIT
8609.T,1228.0,1292.3,1195.9,32.9%,55.5%,0.54x,6.6,0.52,⏸️ WAIT
2267.T,2829.0,2925.6,2780.7,32.9%,57.4%,1.12x,28.5,-0.17,⏸️ WAIT
7182.T,3299.0,3473.9,3211.6,32.9%,56.7%,0.89x,182.3,0.37,⏸️ WAIT
9936.T,2943.0,3015.4,2906.8,32.9%,56.9%,1.09x,7.9,-0.23,⏸️ WAIT
8031.T,5093.0,5353.0,4963.0,32.9%,56.1%,0.87x,336.4,0.01,⏸️ WAIT
3498.T,7370.0,7865.3,7122.3,32.9%,56.6%,1.02x,14.4,0.52,⏸️ WAIT
6724.T,3024.0,3192.5,2939.8,32.9%,55.7%,1.04x,46.1,0.81,⏸️ WAIT
2805.T,7340.0,7881.4,7069.3,32.9%,57.6%,1.04x,5.1,0.16,⏸️ WAIT
9107.T,3300.0,3514.7,3192.6,32.9%,56.2%,1.09x,138.2,0.02,⏸️ WAIT
6471.T,1048.5,1101.4,1022.0,32.9%,55.3%,1.04x,29.6,1.18,⏸️ WAIT
7550.T,11395.0,12112.9,11036.1,32.9%,56.5%,1.24x,55.8,-0.12,⏸️ WAIT
7701.T,3758.0,3900.3,3686.9,32.9%,56.2%,1.01x,39.2,0.61,⏸️ WAIT
8001.T,2283.0,2390.9,2229.0,32.9%,57.7%,0.91x,413.3,0.12,⏸️ WAIT
3003.T,1740.0,1792.0,1714.0,32.9%,56.3%,0.74x,29.8,0.1,⏸️ WAIT
3941.T,1517.5,1578.2,1487.1,32.8%,56.7%,0.87x,12.3,0.57,⏸️ WAIT
4471.T,5940.0,6330.0,5745.0,32.8%,56.1%,0.80x,6.0,0.71,⏸️ WAIT
3401.T,1652.5,1737.4,1610.1,32.8%,55.9%,0.89x,10.6,0.25,⏸️ WAIT
8848.T,655.0,684.9,640.1,32.8%,57.8%,1.07x,6.0,-0.24,⏸️ WAIT
6448.T,4381.0,4639.0,4252.0,32.8%,55.4%,1.22x,48.4,0.49,⏸️ WAIT
7202.T,2180.0,2287.4,2126.3,32.8%,55.9%,0.91x,60.3,0.97,⏸️ WAIT
8801.T,1484.0,1545.9,1453.0,32.8%,56.2%,1.04x,127.8,0.19,⏸️ WAIT
8766.T,7794.0,8135.6,7623.2,32.8%,55.5%,0.99x,385.9,0.36,⏸️ WAIT
8508.T,766.0,852.0,723.0,32.8%,57.8%,0.67x,7.3,0.67,⏸️ WAIT
8604.T,1666.0,1743.6,1627.2,32.8%,55.6%,0.99x,135.0,0.59,⏸️ WAIT
6523.T,1250.0,1356.4,1196.8,32.8%,54.9%,0.64x,11.4,0.55,⏸️ WAIT
7261.T,1121.0,1191.9,1085.6,32.8%,55.0%,0.67x,97.6,0.97,⏸️ WAIT
8016.T,702.0,724.9,690.6,32.8%,55.3%,1.11x,5.8,0.15,⏸️ WAIT
6098.T,15850.0,17115.0,15217.5,32.8%,56.6%,1.07x,730.6,0.97,⏸️ WAIT
3774.T,3299.0,3464.0,3216.5,32.8%,56.3%,1.38x,13.4,0.27,⏸️ WAIT
4042.T,2581.0,2676.6,2533.2,32.8%,55.3%,0.84x,25.5,0.63,⏸️ WAIT
9104.T,6980.0,7412.0,6764.0,32.8%,57.4%,0.80x,207.1,-0.18,⏸️ WAIT
9142.T,3550.0,3652.4,3498.8,32.8%,55.9%,0.92x,24.1,-0.02,⏸️ WAIT
6305.T,5681.0,6076.4,5483.3,32.8%,56.4%,1.01x,67.6,0.25,⏸️ WAIT
5020.T,1472.0,1549.6,1433.2,32.8%,58.0%,1.22x,140.6,0.39,⏸️ WAIT
3697.T,835.6,919.2,793.8,32.8%,56.0%,0.70x,45.5,0.13,⏸️ WAIT
3101.T,1639.0,1758.1,1579.4,32.8%,56.2%,1.14x,7.4,1.06,⏸️ WAIT
6958.T,732.0,809.0,693.5,32.8%,55.2%,0.54x,6.1,1.09,⏸️ WAIT
6770.T,2174.0,2315.8,2103.1,32.8%,55.8%,1.01x,42.3,1.01,⏸️ WAIT
8002.T,5019.0,5279.1,4888.9,32.8%,56.7%,1.18x,213.2,0.24,⏸️ WAIT
7272.T,1761.0,1880.4,1701.3,32.7%,55.1%,1.00x,111.7,0.69,⏸️ WAIT
6920.T,36320.0,39874.3,34542.9,32.7%,57.6%,1.04x,1361.4,1.31,⏸️ WAIT
9513.T,4132.0,4316.7,4039.6,32.7%,56.1%,1.03x,18.2,0.23,⏸️ WAIT
6146.T,53580.0,58600.0,51070.0,32.7%,57.6%,1.17x,757.5,1.41,⏸️ WAIT
3563.T,5330.0,5794.9,5097.6,32.7%,55.1%,1.12x,154.9,0.11,⏸️ WAIT
6862.T,4615.0,5202.9,4321.1,32.7%,57.7%,0.60x,16.7,1.99,⏸️ WAIT
7201.T,308.2,328.7,298.0,32.7%,56.1%,0.58x,119.9,1.25,⏸️ WAIT
4443.T,1976.0,2183.4,1872.3,32.7%,55.3%,0.48x,27.9,0.48,⏸️ WAIT
3391.T,2278.5,2394.2,2220.7,32.7%,56.9%,0.83x,31.9,-0.14,⏸️ WAIT
7296.T,4065.0,4224.3,3985.4,32.7%,56.7%,1.03x,6.0,0.39,⏸️ WAIT
6473.T,2009.5,2151.6,1938.4,32.7%,55.5%,1.05x,29.0,0.86,⏸️ WAIT
5707.T,1006.0,1174.7,921.6,32.7%,57.3%,0.85x,6.4,1.22,⏸️ WAIT
8616.T,893.0,931.1,873.9,32.7%,55.7%,0.92x,7.4,0.6,⏸️ WAIT
7751.T,4338.0,4489.1,4262.4,32.7%,55.4%,0.81x,147.9,0.19,⏸️ WAIT
7741.T,23135.0,24218.6,22593.2,32.7%,57.1%,0.92x,269.6,0.47,⏸️ WAIT
5444.T,12125.0,12752.9,11811.1,32.7%,55.6%,0.62x,14.6,0.34,⏸️ WAIT
9008.T,792.8,816.0,781.2,32.7%,57.3%,1.03x,12.7,-0.14,⏸️ WAIT
4272.T,2039.0,2115.6,2000.7,32.7%,56.1%,0.83x,9.9,0.64,⏸️ WAIT
9201.T,2992.0,3089.4,2943.3,32.7%,57.0%,1.35x,55.2,0.42,⏸️ WAIT
9022.T,3834.0,3985.7,3758.1,32.7%,56.0%,0.91x,81.8,-0.18,⏸️ WAIT
8173.T,4190.0,4498.6,4035.7,32.6%,56.5%,1.00x,5.8,0.8,⏸️ WAIT
3350.T,259.0,317.0,230.0,32.6%,55.5%,0.39x,95.2,1.57,⏸️ WAIT
2809.T,4590.0,4752.4,4508.8,32.6%,56.0%,1.58x,12.4,-0.28,⏸️ WAIT
2782.T,4815.0,5082.1,4681.4,32.6%,57.8%,0.69x,22.8,0.21,⏸️ WAIT
8058.T,4987.0,5245.0,4858.0,32.6%,57.2%,0.88x,423.2,0.27,⏸️ WAIT
7269.T,2011.5,2128.1,1953.2,32.6%,55.9%,1.07x,118.5,1.01,⏸️ WAIT
3231.T,907.5,930.6,896.0,32.6%,56.1%,0.98x,28.8,0.21,⏸️ WAIT
5857.T,3725.0,4051.4,3561.8,32.6%,57.3%,0.75x,19.8,1.1,⏸️ WAIT
5411.T,1828.0,1920.6,1781.7,32.6%,56.3%,0.76x,103.6,0.53,⏸️ WAIT
1925.T,4596.0,4719.1,4534.4,32.6%,55.8%,0.95x,77.1,-0.1,⏸️ WAIT
7988.T,4898.0,5106.1,4793.9,32.6%,56.6%,1.10x,13.8,0.54,⏸️ WAIT
9519.T,909.0,989.1,868.9,32.6%,56.9%,0.80x,6.3,1.26,⏸️ WAIT
9722.T,2739.0,2989.9,2613.6,32.6%,55.3%,0.77x,7.6,0.18,⏸️ WAIT
8918.T,10.0,12.0,9.0,32.6%,57.0%,0.90x,36.4,0.05,⏸️ WAIT
8060.T,3616.0,3777.7,3535.1,32.6%,55.4%,1.49x,9.3,0.28,⏸️ WAIT
3048.T,1706.5,1774.7,1672.4,32.6%,55.1%,1.00x,8.5,0.13,⏸️ WAIT
2685.T,3210.0,3354.6,3137.7,32.6%,57.0%,0.93x,6.3,0.09,⏸️ WAIT
3289.T,1291.0,1334.9,1269.0,32.6%,56.7%,1.15x,35.0,0.18,⏸️ WAIT
5985.T,2196.0,2533.6,2027.2,32.6%,56.9%,0.72x,16.5,1.49,⏸️ WAIT
7186.T,1892.0,1986.6,1844.7,32.6%,55.7%,1.05x,71.3,0.44,⏸️ WAIT
2371.T,3695.0,3756.4,3664.3,32.6%,56.8%,1.30x,5.6,0.06,⏸️ WAIT
9501.T,546.3,594.0,522.4,32.5%,56.5%,1.06x,225.8,0.69,⏸️ WAIT
6988.T,3196.0,3385.9,3101.1,32.5%,55.6%,1.12x,101.5,0.66,⏸️ WAIT
2784.T,2295.0,2354.6,2265.2,32.5%,55.5%,0.81x,8.4,-0.18,⏸️ WAIT
7203.T,2994.0,3135.9,2923.0,32.5%,55.7%,0.86x,655.0,0.79,⏸️ WAIT
8053.T,1812.0,1918.3,1758.9,32.5%,57.1%,0.85x,202.7,0.74,⏸️ WAIT
4202.T,1398.5,1453.3,1371.1,32.5%,56.0%,0.94x,11.9,0.69,⏸️ WAIT
9533.T,1286.0,1342.1,1258.0,32.5%,57.5%,0.90x,8.7,0.16,⏸️ WAIT
8750.T,1833.0,1912.3,1793.4,32.5%,56.0%,0.99x,141.2,0.48,⏸️ WAIT
9504.T,1072.5,1129.9,1043.8,32.5%,57.6%,1.26x,22.2,0.36,⏸️ WAIT
5021.T,4562.0,4781.7,4452.1,32.5%,58.5%,1.57x,28.5,0.19,⏸️ WAIT
3907.T,2238.0,2857.7,1928.1,32.5%,56.2%,0.71x,8.4,0.72,⏸️ WAIT
9432.T,175.2,181.6,172.0,32.4%,56.0%,1.06x,347.0,0.0,⏸️ WAIT
9861.T,3786.0,3919.2,3719.4,32.4%,55.9%,1.18x,11.0,-0.04,⏸️ WAIT
9009.T,1395.0,1445.8,1369.6,32.4%,57.7%,1.11x,24.2,0.07,⏸️ WAIT
8309.T,1757.5,1839.5,1716.5,32.4%,56.0%,1.03x,140.5,0.43,⏸️ WAIT
6302.T,5611.0,6050.9,5391.1,32.4%,57.7%,0.95x,41.2,1.47,⏸️ WAIT
8035.T,52810.0,57404.3,50512.9,32.4%,57.5%,1.10x,1581.7,1.26,⏸️ WAIT
8570.T,1631.0,1702.6,1595.2,32.4%,56.7%,1.26x,9.9,0.05,⏸️ WAIT
8267.T,1363.0,1426.8,1331.1,32.4%,57.2%,0.96x,148.1,-0.07,⏸️ WAIT
2127.T,625.3,651.8,612.1,32.4%,56.5%,1.30x,33.0,0.42,⏸️ WAIT
8698.T,722.0,756.9,704.6,32.3%,56.9%,0.65x,8.3,0.68,⏸️ WAIT
8439.T,2641.5,2757.2,2583.6,32.3%,56.1%,0.91x,15.6,0.29,⏸️ WAIT
2121.T,3605.0,3810.7,3502.1,32.3%,56.4%,1.25x,10.4,-0.1,⏸️ WAIT
6036.T,3650.0,3890.7,3529.6,32.3%,57.7%,0.72x,8.2,0.59,⏸️ WAIT
4776.T,2980.0,3258.6,2840.7,32.3%,57.0%,0.79x,6.6,0.54,⏸️ WAIT
4967.T,5777.0,5966.3,5682.4,32.3%,57.4%,0.87x,16.0,-0.13,⏸️ WAIT
5726.T,2545.0,2792.6,2421.2,32.3%,58.2%,1.76x,19.9,0.95,⏸️ WAIT
9006.T,1563.0,1604.0,1542.5,32.3%,57.0%,0.79x,12.5,-0.11,⏸️ WAIT
6196.T,1399.0,1468.4,1364.3,32.3%,57.2%,0.60x,5.3,0.82,⏸️ WAIT
4373.T,1127.0,1204.3,1088.4,32.2%,56.5%,1.16x,16.6,0.46,⏸️ WAIT
7564.T,5730.0,6091.4,5549.3,32.2%,56.3%,0.86x,26.3,0.11,⏸️ WAIT
9101.T,7198.0,7630.0,6982.0,32.2%,57.3%,0.78x,204.4,0.09,⏸️ WAIT
4507.T,2831.0,2944.8,2774.1,32.2%,56.6%,0.84x,84.1,-0.1,⏸️ WAIT
9509.T,1132.5,1196.2,1100.6,32.2%,57.3%,0.79x,21.3,0.66,⏸️ WAIT
8194.T,2660.0,2783.1,2598.5,32.2%,56.1%,0.87x,6.6,-0.42,⏸️ WAIT
4528.T,2343.5,2445.9,2292.3,32.2%,55.9%,0.89x,31.1,-0.19,⏸️ WAIT
4088.T,2980.0,3209.7,2865.1,32.2%,57.5%,0.62x,70.0,0.54,⏸️ WAIT
9508.T,2185.0,2325.9,2114.6,32.2%,57.4%,0.91x,37.3,0.4,⏸️ WAIT
8876.T,2141.0,2233.4,2094.8,32.2%,56.4%,1.37x,10.5,-0.13,⏸️ WAIT
6326.T,2794.5,2987.1,2698.2,32.2%,56.4%,0.89x,132.5,0.79,⏸️ WAIT
9505.T,1070.0,1128.0,1041.0,32.2%,57.2%,0.99x,7.7,0.25,⏸️ WAIT
6258.T,3530.0,3807.1,3391.4,32.2%,58.1%,0.68x,11.5,1.53,⏸️ WAIT
4667.T,3330.0,4229.3,2880.4,32.2%,56.4%,0.69x,53.3,-1.27,⏸️ WAIT
8473.T,3290.0,3487.6,3191.2,32.2%,57.2%,0.86x,141.9,0.94,⏸️ WAIT
3765.T,2488.0,2626.3,2418.9,32.2%,56.7%,0.86x,5.6,0.23,⏸️ WAIT
4684.T,4886.0,5152.4,4752.8,32.2%,56.9%,0.94x,96.3,0.01,⏸️ WAIT
4440.T,2570.0,3169.5,2270.3,32.1%,56.2%,0.52x,64.9,-2.13,⏸️ WAIT
9503.T,2957.0,3141.8,2864.6,32.1%,57.0%,1.12x,116.5,0.61,⏸️ WAIT
3349.T,6586.0,6943.1,6407.4,32.1%,57.9%,0.60x,35.5,-0.2,⏸️ WAIT
9418.T,1728.0,1789.8,1697.1,32.1%,57.8%,0.76x,7.0,-0.09,⏸️ WAIT
7630.T,1095.0,1169.2,1057.9,32.1%,56.9%,0.62x,6.5,-0.01,⏸️ WAIT
2327.T,3828.0,4007.4,3738.3,32.1%,56.4%,0.68x,7.6,0.11,⏸️ WAIT
9502.T,3053.0,3225.1,2966.9,32.1%,58.7%,1.07x,68.2,0.6,⏸️ WAIT
4205.T,2352.5,2478.5,2289.5,32.1%,56.8%,0.90x,20.8,0.83,⏸️ WAIT
8174.T,3043.0,3163.4,2982.8,32.1%,57.2%,1.15x,6.7,-0.1,⏸️ WAIT
8316.T,6901.0,7220.6,6741.2,32.1%,56.5%,0.90x,777.9,0.43,⏸️ WAIT
2531.T,2508.5,2670.0,2427.8,32.0%,58.1%,0.98x,15.4,0.64,⏸️ WAIT
8697.T,2226.0,2320.0,2179.0,32.0%,57.9%,0.80x,81.8,0.57,⏸️ WAIT
8995.T,2548.0,3144.1,2249.9,32.0%,57.9%,1.51x,15.3,1.51,⏸️ WAIT
4183.T,2143.0,2276.9,2076.1,32.0%,57.0%,0.80x,46.7,0.76,⏸️ WAIT
6178.T,2432.5,2551.3,2373.1,32.0%,55.8%,0.82x,108.1,0.49,⏸️ WAIT
7846.T,2028.0,2119.9,1982.1,32.0%,56.3%,0.86x,6.9,-0.0,⏸️ WAIT
9506.T,1423.5,1493.9,1388.3,32.0%,58.3%,1.30x,67.6,0.32,⏸️ WAIT
8591.T,6084.0,6372.9,5939.6,32.0%,55.7%,0.96x,194.8,0.47,⏸️ WAIT
4661.T,3173.0,3307.7,3105.6,32.0%,59.7%,0.97x,176.5,-0.09,⏸️ WAIT
3549.T,4026.0,4259.0,3909.5,31.9%,57.5%,0.95x,9.8,-0.1,⏸️ WAIT
8425.T,1348.0,1384.3,1329.9,31.9%,55.8%,0.90x,6.3,0.11,⏸️ WAIT
8252.T,2862.0,2946.3,2819.9,31.8%,58.7%,1.02x,31.5,-0.03,⏸️ WAIT
6946.T,6120.0,6805.7,5777.1,31.8%,57.8%,0.78x,14.8,1.65,⏸️ WAIT
3038.T,3071.0,3269.2,2971.9,31.8%,58.4%,0.75x,112.3,-0.07,⏸️ WAIT
9507.T,2179.5,2309.3,2114.6,31.8%,58.3%,0.88x,23.6,0.53,⏸️ WAIT
8628.T,1195.0,1250.3,1167.4,31.8%,56.2%,0.87x,10.4,0.12,⏸️ WAIT
7456.T,7180.0,7882.9,6828.6,31.8%,58.5%,1.05x,9.9,1.65,⏸️ WAIT
2670.T,2657.0,2750.5,2610.3,31.8%,58.4%,0.78x,15.4,0.07,⏸️ WAIT
4666.T,1956.5,2041.7,1913.9,31.8%,57.4%,0.94x,17.4,0.31,⏸️ WAIT
3046.T,5710.0,6076.4,5526.8,31.7%,58.7%,0.77x,11.9,0.34,⏸️ WAIT
5401.T,690.6,725.5,673.1,31.7%,57.0%,0.85x,275.9,0.09,⏸️ WAIT
4188.T,1184.5,1262.1,1145.7,31.7%,55.9%,0.90x,60.0,0.45,⏸️ WAIT
2810.T,3867.0,4006.0,3797.5,31.6%,57.7%,0.98x,8.0,0.01,⏸️ WAIT
6730.T,1106.0,1247.7,1035.1,31.6%,56.5%,0.20x,7.0,0.6,⏸️ WAIT
8012.T,1139.0,1200.7,1108.1,31.6%,57.7%,0.87x,9.0,0.32,⏸️ WAIT
8729.T,159.0,166.7,155.1,31.6%,57.7%,0.95x,82.5,0.18,⏸️ WAIT
2726.T,1485.0,1586.1,1434.4,31.6%,58.5%,0.74x,19.6,-0.04,⏸️ WAIT
4005.T,567.2,608.9,546.3,31.5%,56.7%,0.83x,72.4,0.27,⏸️ WAIT
9843.T,3267.0,3474.9,3163.1,31.4%,58.7%,0.61x,163.7,-0.16,⏸️ WAIT
9023.T,1519.0,1558.5,1499.2,31.3%,58.6%,0.84x,27.6,-0.23,⏸️ WAIT
3387.T,771.0,799.3,756.8,31.3%,58.3%,0.62x,8.7,-0.17,⏸️ WAIT
2593.T,3141.0,3318.1,3052.4,31.1%,58.0%,0.86x,12.2,-0.99,⏸️ WAIT
4506.T,1535.5,1657.1,1474.7,31.1%,56.3%,0.97x,62.6,0.14,⏸️ WAIT
2157.T,987.0,1036.7,962.2,30.9%,56.7%,1.04x,5.8,-0.4,⏸️ WAIT
