Ticker,Date,RSI,SMA25_Dev,SMA200_Dev,BB_pct_b,MACD_Hist,MACD_Slope,ATR_Pct
1332.T,2025-08-08,84.85294698682726,9.373801935355079,11.677960667318079,1.0546039193242864,10.064773315552735,2.4668661936533427,1.7486280321700565
1332.T,2025-08-12,91.62747499076417,9.168201176342022,11.83973328060641,0.980297752493906,10.092041121239316,0.9191653733018903,1.726515337435432
1332.T,2025-10-14,48.65568127827838,-2.2554545453434702,15.848081590060012,0.15545399599337387,-4.173179044990928,-3.1735366589756513,2.0506420623920025
1332.T,2026-01-14,41.01692886155998,-1.8237634435448957,17.30466453705715,0.37745120046694747,-3.368464993813565,2.9780077189784526,1.5314988775299556
1332.T,2026-01-16,44.84129387579389,-1.0789809300132591,17.504857009434982,0.46499950552382907,-0.5824675968441735,2.7859973969693916,1.4600579659945596
1332.T,2026-02-06,85.86312527593076,16.014007383488636,40.18674047475004,1.030967099125376,17.161997271770495,3.7113008117436337,3.050125079371134
1333.T,2024-11-06,17.133937260486704,-5.167432985335808,,0.17810311506601,-4.860824105488822,0.3260125857171676,1.505817155597635
1333.T,2026-01-08,61.79780091266849,3.1937376060836424,19.347733541932126,0.7774190977060813,1.0182927628137044,-1.054979956926239,1.6207847411603744
1333.T,2026-01-09,62.17391540239853,2.3738406991167285,18.431655408947396,0.685072246086394,-0.251685894087629,-2.032487287513341,1.6786892178763089
1333.T,2026-01-13,62.14101612600095,3.2319750792333983,19.600616434881218,0.7885247480569425,-0.3321419720187251,-1.3504347348324295,1.6746843955175177
1333.T,2026-01-14,62.30504021771543,4.347821993411709,21.12596141004462,0.9120922192809763,0.5884493440245642,0.8401352381121932,1.637348964335971
1407.T,2024-12-17,24.85768375596851,-12.315723830868329,,0.10406610315121262,-2.2682445777036264,-0.47317512192023514,3.7538448861057483
1407.T,2024-12-18,29.841888935437666,-10.535587201929205,,0.1795064645026441,-0.29533894067152744,1.3850132402404682,3.6039941862408416
1407.T,2025-06-16,41.69884733102071,-1.8760320182514736,,0.3881633388808581,-3.5033522910675963,2.1062613736055846,2.287029656917186
1407.T,2025-06-18,53.11356727334152,1.8178534218827942,,0.7759066213080492,3.9861335839233227,7.489485874990919,2.2267576504583086
1407.T,2025-06-19,48.80951482982679,1.8664706917169271,,0.7655661174038958,5.904747544068133,5.277294676234579,2.259938631700249
1407.T,2025-06-20,49.99999970575166,2.274793406621064,,0.7791322264195534,7.162555423486951,3.176421839563628,2.2889714896618862
1407.T,2025-06-23,62.3931706279417,3.408536810770958,,0.8653563926987862,8.694867308732467,2.7901197646643343,2.2855352047209845
1407.T,2025-06-24,63.20340518660779,3.061428004985483,,0.8176929393127335,8.99438733677399,1.831831913287039,2.3092100443172137
1407.T,2025-06-25,74.11164680475002,2.6015651895176655,,0.7756261352846359,8.366425092464095,-0.3284422162683729,2.2999366146231024
1407.T,2026-04-23,77.91263528505525,21.69673168638449,44.79506735100192,0.9180061468383374,38.94472831250313,-5.462985470734324,5.557239566453364
1414.T,2025-08-08,78.7055444438663,4.502747247460053,3.048407048359809,1.008218870046888,5.103939339104789,0.8520538863928291,1.302069455705372
1414.T,2025-08-12,82.59376826830834,6.3745877154460615,5.316181496909122,1.120603012315234,6.691270228485568,2.0320471177337076,1.380330466107409
1414.T,2026-01-06,76.64766428535454,6.217397683915009,11.796653529781373,1.1042661969602452,6.699181881428181,1.6065753840797292,1.451536928959385
